"id","storeItemKey","storeId","upcId","corporateItemCd","rogCD","upcComponents.packInd","upcComponents.manufacturerId","upcComponents.salesId","upcComponents.countryId","upcComponents.systemId","upcComponents.checkDigit","stopBuy","itemType","itemName","audit.createDt","audit.modifiedDt","audit.createdBy","audit.modifiedBy","orderable"
"SNCA-70056108-007336108505-3116","SNCA-70056108-007336108505-3116","3116","007336108505","70056108","SNCA","1","73361","8505","0","0","0","Y","FLO","100 YEARS OF CROSSWO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70022394-978037318056-3116","SNCA-70022394-978037318056-3116","3116","978037318056","70022394","SNCA","1","80373","18056","9","7","0","Y","FLO","THERE AND NOW  THERE","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014919-007485108978-3116","SNCA-70014919-007485108978-3116","3116","007485108978","70014919","SNCA","1","74851","8978","0","0","0","Y","FLO","CONSUMER REPORTS BUY","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-62100572-038137118351-3116","SNCA-62100572-038137118351-3116","3116","038137118351","62100572","SNCA","1","81371","18351","0","3","7","Y","FLO","BANDAID SKIN FLEX ASSORTED","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-6041679-007447004899-3116","SNCA-6041679-007447004899-3116","3116","007447004899","6041679","SNCA","1","74470","4899","0","0","0","Y","FLO","BANGOR METRO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014363-047001436301-3116","SNCA-70014363-047001436301-3116","3116","047001436301","70014363","SNCA","1","70014","36301","0","4","0","Y","FLO","BURIAL RITES","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"id","storeItemKey","storeId","upcId","corporateItemCd","rogCD","upcComponents.packInd","upcComponents.manufacturerId","upcComponents.salesId","upcComponents.countryId","upcComponents.systemId","upcComponents.checkDigit","stopBuy","itemType","itemName","audit.createDt","audit.modifiedDt","audit.createdBy","audit.modifiedBy","orderable"
"SNCA-70056108-007336108505-3116","SNCA-70056108-007336108505-3116","3116","007336108505","70056108","SNCA","1","73361","8505","0","0","0","Y","FLO","100 YEARS OF CROSSWO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70022394-978037318056-3116","SNCA-70022394-978037318056-3116","3116","978037318056","70022394","SNCA","1","80373","18056","9","7","0","Y","FLO","THERE AND NOW  THERE","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014919-007485108978-3116","SNCA-70014919-007485108978-3116","3116","007485108978","70014919","SNCA","1","74851","8978","0","0","0","Y","FLO","CONSUMER REPORTS BUY","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-62100572-038137118351-3116","SNCA-62100572-038137118351-3116","3116","038137118351","62100572","SNCA","1","81371","18351","0","3","7","Y","FLO","BANDAID SKIN FLEX ASSORTED","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-6041679-007447004899-3116","SNCA-6041679-007447004899-3116","3116","007447004899","6041679","SNCA","1","74470","4899","0","0","0","Y","FLO","BANGOR METRO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014363-047001436301-3116","SNCA-70014363-047001436301-3116","3116","047001436301","70014363","SNCA","1","70014","36301","0","4","0","Y","FLO","BURIAL RITES","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"id","storeItemKey","storeId","upcId","corporateItemCd","rogCD","upcComponents.packInd","upcComponents.manufacturerId","upcComponents.salesId","upcComponents.countryId","upcComponents.systemId","upcComponents.checkDigit","stopBuy","itemType","itemName","audit.createDt","audit.modifiedDt","audit.createdBy","audit.modifiedBy","orderable"
"SNCA-70056108-007336108505-3116","SNCA-70056108-007336108505-3116","3116","007336108505","70056108","SNCA","1","73361","8505","0","0","0","Y","FLO","100 YEARS OF CROSSWO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70022394-978037318056-3116","SNCA-70022394-978037318056-3116","3116","978037318056","70022394","SNCA","1","80373","18056","9","7","0","Y","FLO","THERE AND NOW  THERE","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014919-007485108978-3116","SNCA-70014919-007485108978-3116","3116","007485108978","70014919","SNCA","1","74851","8978","0","0","0","Y","FLO","CONSUMER REPORTS BUY","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-62100572-038137118351-3116","SNCA-62100572-038137118351-3116","3116","038137118351","62100572","SNCA","1","81371","18351","0","3","7","Y","FLO","BANDAID SKIN FLEX ASSORTED","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-6041679-007447004899-3116","SNCA-6041679-007447004899-3116","3116","007447004899","6041679","SNCA","1","74470","4899","0","0","0","Y","FLO","BANGOR METRO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014363-047001436301-3116","SNCA-70014363-047001436301-3116","3116","047001436301","70014363","SNCA","1","70014","36301","0","4","0","Y","FLO","BURIAL RITES","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"id","storeItemKey","storeId","upcId","corporateItemCd","rogCD","upcComponents.packInd","upcComponents.manufacturerId","upcComponents.salesId","upcComponents.countryId","upcComponents.systemId","upcComponents.checkDigit","stopBuy","itemType","itemName","audit.createDt","audit.modifiedDt","audit.createdBy","audit.modifiedBy","orderable"
"SNCA-70056108-007336108505-3116","SNCA-70056108-007336108505-3116","3116","007336108505","70056108","SNCA","1","73361","8505","0","0","0","Y","FLO","100 YEARS OF CROSSWO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70022394-978037318056-3116","SNCA-70022394-978037318056-3116","3116","978037318056","70022394","SNCA","1","80373","18056","9","7","0","Y","FLO","THERE AND NOW  THERE","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014919-007485108978-3116","SNCA-70014919-007485108978-3116","3116","007485108978","70014919","SNCA","1","74851","8978","0","0","0","Y","FLO","CONSUMER REPORTS BUY","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-62100572-038137118351-3116","SNCA-62100572-038137118351-3116","3116","038137118351","62100572","SNCA","1","81371","18351","0","3","7","Y","FLO","BANDAID SKIN FLEX ASSORTED","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-6041679-007447004899-3116","SNCA-6041679-007447004899-3116","3116","007447004899","6041679","SNCA","1","74470","4899","0","0","0","Y","FLO","BANGOR METRO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014363-047001436301-3116","SNCA-70014363-047001436301-3116","3116","047001436301","70014363","SNCA","1","70014","36301","0","4","0","Y","FLO","BURIAL RITES","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"id","storeItemKey","storeId","upcId","corporateItemCd","rogCD","upcComponents.packInd","upcComponents.manufacturerId","upcComponents.salesId","upcComponents.countryId","upcComponents.systemId","upcComponents.checkDigit","stopBuy","itemType","itemName","audit.createDt","audit.modifiedDt","audit.createdBy","audit.modifiedBy","orderable"
"SNCA-70056108-007336108505-3116","SNCA-70056108-007336108505-3116","3116","007336108505","70056108","SNCA","1","73361","8505","0","0","0","Y","FLO","100 YEARS OF CROSSWO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70022394-978037318056-3116","SNCA-70022394-978037318056-3116","3116","978037318056","70022394","SNCA","1","80373","18056","9","7","0","Y","FLO","THERE AND NOW  THERE","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014919-007485108978-3116","SNCA-70014919-007485108978-3116","3116","007485108978","70014919","SNCA","1","74851","8978","0","0","0","Y","FLO","CONSUMER REPORTS BUY","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-62100572-038137118351-3116","SNCA-62100572-038137118351-3116","3116","038137118351","62100572","SNCA","1","81371","18351","0","3","7","Y","FLO","BANDAID SKIN FLEX ASSORTED","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-6041679-007447004899-3116","SNCA-6041679-007447004899-3116","3116","007447004899","6041679","SNCA","1","74470","4899","0","0","0","Y","FLO","BANGOR METRO","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
"SNCA-70014363-047001436301-3116","SNCA-70014363-047001436301-3116","3116","047001436301","70014363","SNCA","1","70014","36301","0","4","0","Y","FLO","BURIAL RITES","2019-09-17T23:14:22.110","2019-09-17T23:14:22.110","ItemConversion","ItemConversion","false"
